ID,g_mag,g_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,Teff,Teff_err,ref,feh_table,feh_count,ra,dec,mem_prob,cal_lum,cal_lum_err,value
598901754562312448,14.061209,0.00021548557042891912,0.1735,1.4480898,0.09830153,882.211305189411,25.114171508946015,6069.0,43.0,2011AJ....141...89S,"[[6069.0, -0.07, '2011AJ....141...89S']]",1.0,132.5375323317,11.55722179282,0.998,1.4276727773013946,0.0366322837505154,2.1765426963840113
598901788922041728,15.399152,0.00038832626834942486,0.158,0.42606387,0.035593063,853.044770500876,32.111388728832026,5146.0,67.0,2011AJ....141...89S,"[[5146.0, -0.03, '2011AJ....141...89S'], [5211.0, -0.1, '2008AJ....136.2050L']]",2.0,132.632665411,11.50209389643,0.999,0.45318757157841694,0.014037773102410698,1.9584198276775169
598907836235995008,14.344937,0.000232089891275423,0.1563,1.0292207,0.0644086,848.397123191368,21.949824861407023,5846.0,44.0,2011AJ....141...89S,"[[5846.0, -0.01, '2011AJ....141...89S']]",1.0,132.53993764695,11.64497594829,0.999,1.1098655348283617,0.02767305838202426,2.1233177449585696
598955149595631872,14.034753,0.00019661216252076817,0.0663,1.3493309,0.07760918,842.922451729567,19.47099295670705,5981.0,49.0,2011AJ....141...89S,"[[5981.0, 0.04, '2011AJ....141...89S']]",1.0,132.50346598547,11.70271873728,1.0,1.4675567177139326,0.03707874591223446,2.1011431293876583
598959032246073216,11.790519,0.00024700035659766816,,11.651144,0.5598602,829.451064934456,27.242800591285004,4913.14794921875,91.46673583984375,apogee,"[[4891.0, 0.114, '2016ApJ...823..114N'], [4847.0, None, '2013AJ....146..133M']]",2.0,132.35375788677,11.73489910597,0.996,13.210821012949763,0.5128148325069287,0.2926686135020091
598959822520052480,14.202843,0.00021890918330594924,0.1215,1.3284395,0.08016026,902.419159616508,21.668996331258086,5945.0,44.0,2011AJ....141...89S,"[[5945.0, 0.01, '2011AJ....141...89S']]",1.0,132.3947971816,11.78807410441,0.999,1.2589654579254548,0.031636146989687586,2.1415047749580367
604689308892956416,11.696172,0.0003154225455239558,,13.840551,0.8194599,864.383904316992,37.676165273917945,4909.5595703125,91.46673583984375,apogee,"[[4930.0, 0.111, '2016ApJ...823..114N']]",1.0,133.44463790561,11.39185835774,0.995,14.422810779674297,0.5614004326434905,0.2513754334125906
604698306849407232,14.932117,0.00028891842569844144,0.0197,0.6482471,0.05590105,875.777132005928,34.072832810563,5525.0,49.0,2011AJ....141...89S,"[[5525.0, 0.04, '2011AJ....141...89S']]",1.0,133.07879246822,11.39710540914,0.902,0.6619426579934818,0.0171249694099529,2.102502454064755
604698345504195456,14.440917,0.00022809543253933092,0.117,0.923686,0.06120169,839.153376954777,23.533337991861004,5805.0,29.0,2011AJ....141...89S,"[[5805.0, -0.05, '2011AJ....141...89S']]",1.0,133.05663692914,11.39336393248,0.62,1.0183149588152989,0.02529392031316918,2.1301401172442525
604703052788343296,12.250184,0.00015317887398790976,,8.872878,0.46726036,893.778194253792,32.40141177442001,4944.640625,91.46673583984375,apogee,"[[4944.0, -0.01, '2016A&A...594A..43H'], [4931.0, 0.082, '2016ApJ...823..114N'], [4867.0, None, '2013AJ....146..133M']]",3.0,133.08342111053,11.46006041869,0.999,8.586035212537901,0.32545338727569817,0.5075546616230682
